corner,vdd_v,temperature_c,differential_v,common_mode_ratio,pair_skew,trim_code,load_ff,max_step_ps,design_name,source_resistance_ohm,sample_cap_ff,previous_differential_v,case_id,policy,input_mv,deadline_ns,policy_available,decision,outcome,decision_time_ns,core_energy_fj,reset_ok,qp_at_deadline_v,qn_at_deadline_v,run_id,initial_run_id,numerically_refined
tt,1.62,-40.0,0.0,0.5,0.04,0.0,5.0,10.0,baseline,0.0,0.0,,TT | 1.62 V | -40 C | skew +4%,code_zero,0.0,0.75,True,0.0,unresolved,,95.96316267511251,True,1.204031733492631,0.9379839140116332,4613723e4491b385db130f41,4613723e4491b385db130f41,False
tt,1.62,-40.0,0.0,0.5,0.04,0.0,5.0,10.0,baseline,0.0,0.0,,TT | 1.62 V | -40 C | skew +4%,code_zero,0.0,1.0,True,0.0,unresolved,,95.96316267511251,True,1.1769872443730605,0.6620850208966901,4613723e4491b385db130f41,4613723e4491b385db130f41,False
tt,1.62,-40.0,0.0,0.5,0.04,0.0,5.0,10.0,baseline,0.0,0.0,,TT | 1.62 V | -40 C | skew +4%,code_zero,0.0,2.0,True,1.0,reference,1.3237996210565688,95.96316267511251,True,1.6192407359357628,0.0690471305902136,4613723e4491b385db130f41,4613723e4491b385db130f41,False
tt,1.62,-40.0,0.00025,0.5,0.04,0.0,5.0,10.0,baseline,0.0,0.0,,TT | 1.62 V | -40 C | skew +4%,code_zero,0.25,0.25,True,0.0,unresolved,,95.86177090014674,True,1.6137060954383684,1.583778319981263,4739d50aea89c4e7e76fde6c,4739d50aea89c4e7e76fde6c,False
tt,1.62,-40.0,0.00025,0.5,0.04,0.0,5.0,10.0,baseline,0.0,0.0,,TT | 1.62 V | -40 C | skew +4%,code_zero,0.25,0.35,True,0.0,unresolved,,95.86177090014674,True,1.5067230850933024,1.4341452431721249,4739d50aea89c4e7e76fde6c,4739d50aea89c4e7e76fde6c,False
tt,1.62,-40.0,0.00025,0.5,0.04,0.0,5.0,10.0,baseline,0.0,0.0,,TT | 1.62 V | -40 C | skew +4%,code_zero,0.25,0.5,True,0.0,unresolved,,95.86177090014674,True,1.3620312682394842,1.231533697729284,4739d50aea89c4e7e76fde6c,4739d50aea89c4e7e76fde6c,False
tt,1.62,-40.0,0.00025,0.5,0.04,0.0,5.0,10.0,baseline,0.0,0.0,,TT | 1.62 V | -40 C | skew +4%,code_zero,0.25,0.75,True,0.0,unresolved,,95.86177090014674,True,1.2087944235516372,0.9330288920063172,4739d50aea89c4e7e76fde6c,4739d50aea89c4e7e76fde6c,False
tt,1.62,-40.0,0.00025,0.5,0.04,0.0,5.0,10.0,baseline,0.0,0.0,,TT | 1.62 V | -40 C | skew +4%,code_zero,0.25,1.0,True,0.0,unresolved,,95.86177090014674,True,1.1860607477720442,0.6533466762764769,4739d50aea89c4e7e76fde6c,4739d50aea89c4e7e76fde6c,False
tt,1.62,-40.0,0.00025,0.5,0.04,0.0,5.0,10.0,baseline,0.0,0.0,,TT | 1.62 V | -40 C | skew +4%,code_zero,0.25,2.0,True,1.0,correct,1.313811450462961,95.86177090014674,True,1.619269624143719,0.0681330431029524,4739d50aea89c4e7e76fde6c,4739d50aea89c4e7e76fde6c,False
tt,1.62,-40.0,0.0005,0.5,0.04,0.0,5.0,10.0,baseline,0.0,0.0,,TT | 1.62 V | -40 C | skew +4%,code_zero,0.5,0.25,True,0.0,unresolved,,95.76260145108736,True,1.6141922300795066,1.583127699695569,6dffe48e29d8750222a320ab,6dffe48e29d8750222a320ab,False
