corner,vdd_v,temperature_c,mode,differential_mv,max_step_ps,numerically_audited,run_id,reset_ok,outcome_at_1ns,decision_at_1ns,latency_at_1ns_ns,core_energy_fj,outcome_at_2ns,latency_at_2ns_ns,qp_at_1ns_v,qn_at_1ns_v
ss,1.62,-40,rc,-3.0,5,True,227dc616a323b87d65f1b013,True,unresolved,0,,361.4311078818394,unresolved,,1.2676170177918693,1.3732806429303777
ss,1.62,-40,rc,3.0,5,True,c6ba324d1f5d9cafcd5af422,True,unresolved,0,,361.45155625489684,unresolved,,1.3731891135658696,1.267701775578168
ss,1.62,-40,rc,10.0,5,True,e2dbd01bcc7e6e0b1611695b,True,unresolved,0,,353.27520149881695,correct,1.7355247537071288,1.4740731345297864,1.148191619794723
ss,1.62,125,schematic,-10.0,5,True,87ce0b56ec87aee5a9df4c5f,True,correct,-1,0.4543403633949596,205.57351788998943,correct,0.4543403633949596,0.05447745062743614,1.6189406011327516
ss,1.62,125,schematic,-3.0,5,True,8dbf5a35ceb6d283a8479a5f,True,correct,-1,0.5512528709945304,208.74780714890161,correct,0.5512528709945304,0.05855502918970597,1.618893688204755
ss,1.62,125,schematic,3.0,5,True,43c806bf9837763ae43ee72b,True,correct,1,0.5512528709986994,208.74780714889758,correct,0.5512528709986994,1.6188936882047553,0.05855502918970677
ss,1.62,125,schematic,10.0,5,True,6bedbc5084b49039d36285ee,True,correct,1,0.45434037098027863,205.57351790111616,correct,0.45434037098027863,1.6189406011314402,0.054477450617017024
ss,1.62,125,lvs,-10.0,5,True,fa5de7c94b7cee9c4dfe9518,True,correct,-1,0.4532558104975602,205.57424452052476,correct,0.4532558104975602,0.054478680324279945,1.6189407232149866
ss,1.62,125,lvs,-3.0,5,True,dde79a909878f1737e1e9359,True,correct,-1,0.5474122776408702,208.75744343064736,correct,0.5474122776408702,0.05855720650642464,1.6188936549518025
ss,1.62,125,lvs,3.0,5,True,82961724ba3cb4f95b02d745,True,correct,1,0.5490668697658607,208.752348260006,correct,0.5490668697658607,1.618893696046223,0.05855613156541698
ss,1.62,125,lvs,10.0,5,True,cf75b245e9a010b9222f4fae,True,correct,1,0.4540079386807781,205.5732740448089,correct,0.4540079386807781,1.6189406648966214,0.05447848313849394
ss,1.62,125,c,-10.0,5,True,b45bc9259de42713a41ed59b,True,correct,-1,0.9966727722927984,339.1363267409648,correct,0.9966727722927984,0.31520905768566254,1.5099415121828879
ss,1.62,125,c,-3.0,5,True,70911b13e3ce7c318de1b927,True,unresolved,0,,346.62975114723315,correct,1.2099793403549697,0.7222408488841263,1.1592396444262234
ss,1.62,125,c,3.0,5,True,bd98f8fa5464b19fe4f15efd,True,unresolved,0,,346.8214070154429,correct,1.2150037096632604,1.1528134434146442,0.7291716704359269
ss,1.62,125,c,10.0,5,True,035473191eb1e1a36d841411,True,correct,1,0.9965056927078687,339.2277440218353,correct,0.9965056927078687,1.5079856281987496,0.31761503368700694
ss,1.62,125,rc,-10.0,5,True,61cc35391a0cacbcea466a65,True,unresolved,0,,415.74436407067685,correct,1.327569142001211,0.8456521968840851,1.2712736351228704
ss,1.62,125,rc,-3.0,5,True,0df410f9ce01fe4ae528128a,True,unresolved,0,,425.0447492852307,correct,1.588771230321571,1.0008264316291353,1.1320126223625597
ss,1.62,125,rc,3.0,5,True,9a9be6bb52b71ca94e9ea86b,True,unresolved,0,,425.0779419767417,correct,1.58877182101927,1.1318180927881552,1.0010210032966165
ss,1.62,125,rc,10.0,5,True,c8adc80cd63886728a0875f4,True,unresolved,0,,415.7700195331652,correct,1.326484747972838,1.271076529474654,0.8458404557458357
ff,1.95,-40,schematic,-10.0,10,False,6c71cf8bcd83bf1b02c14585,True,correct,-1,0.13720034043585982,276.56506737491,correct,0.13720034043585982,1.6788284820253995e-06,1.9500002654258433
ff,1.95,-40,schematic,-3.0,10,False,8ca448da67bc51f317c7badd,True,correct,-1,0.1649678722718701,280.83776791144544,correct,0.1649678722718701,1.2761251968928454e-06,1.9499999034328803
ff,1.95,-40,schematic,3.0,10,False,ee428dfa86f285686ccf3653,True,correct,1,0.164967905680848,280.8377682131176,correct,0.164967905680848,1.9499999034111837,1.27609288798243e-06
ff,1.95,-40,schematic,10.0,10,False,a0eb61825d8671b842400253,True,correct,1,0.1372003404862285,276.565067382786,correct,0.1372003404862285,1.950000265425804,1.6788284306935124e-06
ff,1.95,-40,lvs,-10.0,10,False,05e06649c3daf5f6608488fa,True,correct,-1,0.13888278899112055,276.5592692188772,correct,0.13888278899112055,1.1667650100012925e-06,1.9499998790520594
ff,1.95,-40,lvs,-3.0,10,False,a1514149b1e33e13ebd1a6b2,True,correct,-1,0.16419797253270108,280.8124551933002,correct,0.16419797253270108,2.576797744578596e-07,1.9499998187908962
ff,1.95,-40,lvs,3.0,10,False,4352a0ffff31eb3dfee70dbd,True,correct,1,0.16292665979183005,280.83296549324075,correct,0.16292665979183005,1.9500002456099568,1.284348503264556e-06
ff,1.95,-40,lvs,10.0,10,False,432fbef3af7ddff221f36f68,True,correct,1,0.13812267236979062,276.55966504480125,correct,0.13812267236979062,1.9499992865617408,1.4236797116014785e-07
ff,1.95,-40,c,-10.0,10,False,29ebc7656715c177b00f3fd9,True,correct,-1,0.3169353009520482,484.19906552528676,correct,0.3169353009520482,0.0001792159646233596,1.9499864165125689
ff,1.95,-40,c,-3.0,10,False,20027ce3cf79ac53e4a3b96c,True,correct,-1,0.37484503708257827,494.8678886378834,correct,0.37484503708257827,0.00023863238166605563,1.9499820170625906
ff,1.95,-40,c,3.0,10,False,4aa8198b80460c0532727b4e,True,correct,1,0.3835669164233083,495.6435137392461,correct,0.3835669164233083,1.9499817492859475,0.00024341053441598128
ff,1.95,-40,c,10.0,10,False,94aec3cc792c7b35f4fe7ad1,True,correct,1,0.3152617944789902,484.466507325631,correct,0.3152617944789902,1.9499862941572175,0.0001797923963072323
ff,1.95,-40,rc,-10.0,10,False,4ee147adb2f2b0ccae7e98fb,True,correct,-1,0.44881888625869015,605.9216580873256,correct,0.44881888625869015,0.005250692685964307,1.9496574906792992
ff,1.95,-40,rc,-3.0,10,False,14d1dbad56fb0f5d4b501939,True,correct,-1,0.5342777547318983,619.1967757161917,correct,0.5342777547318983,0.0067046769648405205,1.9495592365156886
ff,1.95,-40,rc,3.0,10,False,66394b1016beb943f58d7664,True,correct,1,0.5251334605585305,618.8610548258919,correct,0.5251334605585305,1.9495628106825815,0.006653360905700986
