Using SPARSE 1.3 as Direct Linear Solver

Note: Compatibility modes selected: hs a


Circuit: comparator atlas: nominal published 27-device matched layout experiment

option SCALE: Scale is set to 1e-06 for instance and model parameters
Doing analysis at TEMP = 125.000000 and TNOM = 27.000000


Initial Transient Solution
--------------------------

Node                                   Voltage
          l               1.5e-07               1.5e-07               1.5e-07

 BSIM4v5: Berkeley Short Channel IGFET Model-4
     device m.xdut.x23.msky130_fd m.xdut.x22.msky130_fd m.xdut.x21.msky130_fd
      model xdut.x23:sky130_fd_pr xdut.x22:sky130_fd_pr xdut.x21:sky130_fd_pr
          w              1.68e-06                 1e-06                 1e-06
          l                 1e-06               1.5e-07               1.5e-07

 BSIM4v5: Berkeley Short Channel IGFET Model-4
     device m.xdut.x20.msky130_fd m.xdut.x19.msky130_fd m.xdut.x18.msky130_fd
      model xdut.x20:sky130_fd_pr xdut.x19:sky130_fd_pr xdut.x18:sky130_fd_pr
          w              3.36e-06                 2e-06               8.4e-07
          l                 1e-06               1.5e-07                 1e-06

 BSIM4v5: Berkeley Short Channel IGFET Model-4
     device m.xdut.x17.msky130_fd m.xdut.x16.msky130_fd m.xdut.x15.msky130_fd
      model xdut.x17:sky130_fd_pr xdut.x16:sky130_fd_pr xdut.x15:sky130_fd_pr
          w                 8e-06              1.68e-06                 1e-06
          l               1.5e-07                 1e-06               1.5e-07

 BSIM4v5: Berkeley Short Channel IGFET Model-4
     device m.xdut.x14.msky130_fd m.xdut.x13.msky130_fd m.xdut.x12.msky130_fd
      model xdut.x14:sky130_fd_pr xdut.x13:sky130_fd_pr xdut.x12:sky130_fd_pr
          w                 1e-06                 1e-06                 2e-06
          l               1.5e-07               1.5e-07               1.5e-07

 BSIM4v5: Berkeley Short Channel IGFET Model-4
     device m.xdut.x11.msky130_fd m.xdut.x10.msky130_fd m.xdut.x9.msky130_fd_
      model xdut.x11:sky130_fd_pr xdut.x10:sky130_fd_pr xdut.x9:sky130_fd_pr_
          w              3.36e-06                 4e-06                 3e-06
          l                 1e-06               1.5e-07               1.5e-07

 BSIM4v5: Berkeley Short Channel IGFET Model-4
     device m.xdut.x8.msky130_fd_ m.xdut.x7.msky130_fd_ m.xdut.x6.msky130_fd_
      model xdut.x8:sky130_fd_pr_ xdut.x7:sky130_fd_pr_ xdut.x6:sky130_fd_pr_
          w               8.4e-07               4.2e-07                 8e-06
