Using SPARSE 1.3 as Direct Linear Solver

Note: Compatibility modes selected: hs a


Circuit: comparator atlas: nominal published 27-device matched layout experiment

option SCALE: Scale is set to 1e-06 for instance and model parameters
Doing analysis at TEMP = -40.000000 and TNOM = 27.000000


Initial Transient Solution
--------------------------

Node                                   Voltage
xdut.vss.n58                       2.18563e-10
xdut.vss.n60                       2.25015e-10
xdut.vss.n59                       2.67775e-10
xdut.vss.n61                       1.77228e-10
xdut.vss.n62                       2.26741e-10
xdut.vss.n63                       1.02107e-10
xdut.vss.n65                       2.32662e-10
xdut.vss.n64                       2.82296e-10
xdut.vss.n66                       1.79309e-10
xdut.vss.n67                       2.92474e-10
xdut.vss.n68                       2.34871e-10
xdut.vss.n70                       2.32303e-10
xdut.vss.n69                       2.66583e-10
xdut.vss.n71                       1.94404e-10
xdut.vss.n72                       2.34654e-10
xdut.vss.n73                       1.13875e-10
xdut.vss.n75                       2.32645e-10
xdut.vss.n74                       2.67186e-10
xdut.vss.n76                       1.94525e-10
xdut.vss.n77                        3.1314e-10
xdut.vss.n78                       2.61874e-10
xdut.vss.n80                       2.47291e-10
xdut.vss.n79                       2.73191e-10
xdut.vss.n81                       2.19294e-10
xdut.vss.n82                       2.46284e-10
xdut.vss.n83                       1.22969e-10
xdut.vss.n85                       2.46049e-10
xdut.vss.n84                       2.71244e-10
xdut.vss.n86                       2.18675e-10
xdut.vss.n87                        3.4241e-10
xdut.vss.n88                       2.99941e-10
xdut.vss.n90                       2.71139e-10
xdut.vss.n89                       2.87375e-10
xdut.vss.n91                       2.54117e-10
xdut.vss.n92                       2.58805e-10
xdut.vss.n93                       1.27824e-10
xdut.vss.n95                        2.6779e-10
xdut.vss.n94                       2.82954e-10
xdut.vss.n96                        2.5175e-10
xdut.vss.n97                       1.51607e-10
xdut.vss.n98                       1.37332e-10
xdut.vss.n100                      1.35718e-10
xdut.vss.n99                       1.43104e-10
xdut.vss.n101                      1.28442e-10
xdut.vss.n102                      9.65152e-11
xdut.vss.n103                      2.13971e-11
xdut.vss.n105                      1.35734e-10
xdut.vss.n104                      1.43123e-10
xdut.vss.n106                      1.28456e-10
xdut.vss.n107                      3.24677e-10
xdut.vss.n108                      2.45805e-10
xdut.vss.n110                       2.4242e-10
xdut.vss.n109                      2.74032e-10
xdut.vss.n111                      2.09427e-10
xdut.vss.n112                      2.37652e-10
xdut.vss.n113                      5.62575e-11
xdut.vss.n115                      2.66046e-10
xdut.vss.n114                      3.06928e-10
xdut.vss.n116                      2.24625e-10
xdut.vss.n117                      4.30458e-10
xdut.vss.n118                      2.65649e-10
xdut.vss.n120                        3.371e-10
xdut.vss.n119                      4.41497e-10
